query,answer,content
"Câu hỏi: Theo điều 22, trong bao nhiêu ngày phải công khai kết quả sử dụng và báo cáo quyết toán?","Câu trả lời: Phải công khai trong thời hạn ba mươi ngày, kể từ ngày báo cáo quyết toán được phê duyệt.","Node ID: node_9417
Text: 5. Thời điểm công khai được quy định như sau:   a) Mục đích vận
động, quyên góp phải được công khai trước khi tiến hành vận động,
quyên góp;   b) Kết quả vận động, quyên góp phải được công khai trong
thời hạn ba mươi ngày, kể từ ngày  kết thúc việc vận động, quyên góp;
c) Việc sử dụng, kết quả sử dụng tiền, hiện vật và báo cáo quyết toán
phải ...
Score:  0.578
"
Câu hỏi:,- Bạn biết được khổ đường sắt là gì không?,"Node ID: node_12463
Text: 7. Công trình công nghiệp đường sắt  là công trình được xây dựng
để phục vụ cho các hoạt động  sản xuất, lắp ráp, sửa chữa, hoán cải
phương tiện giao thông đường sắt; sản xuất phụ kiện, phụ  tùng, vật
tư, thiết bị chuyên dùng cho đường sắt.   8. Đề-pô là nơi tập kết tàu
để bảo dưỡng, sửa chữa, thực hiện các tác nghiệp kỹ thuật khác.   9.
Đường n...
Score:  0.628
"
"Câu hỏi: Theo quy định, ai có thẩm quyền quyết định di chuyển một trạm khí tượng thủy văn chuyên dùng?","Câu trả lời: Người có thẩm quyền quyết định di chuyển một trạm khí tượng thủy văn chuyên dùng là người thành lập trạm đó. Sau khi di chuyển, họ cũng phải thông báo cho Bộ Tài nguyên và Môi trường và cơ quan quản lý nhà nước về khí tượng thủy văn cấp tỉnh tại nơi đặt trạm.","Node ID: node_9876
Text: Vị trí mới của trạm phải đáp ứng yêu cầu quan trắc và phù hợp
với quy định của pháp luật có  liên quan;   b) Phải tổ chức quan trắc
song song giữa tr ạm cũ và trạm mới để bảo đảm tính liên tục của chuỗi
số liệu và không gián đoạn việc cung cấp thông tin, dữ liệu cho công
tác dự báo, cảnh báo khí  tượng thủy văn, trao đổi quốc tế;   c) Bộ
trưởng...
Score:  0.539
"
"Câu hỏi: Theo luật, ai được công nhận có quyền yêu cầu giám định tư pháp?","Câu trả lời: Luật cho phép đối tượng bao gồm đương sự trong vụ việc dân sự, vụ án hành chính, nguyên đơn dân sự, bị đơn dân sự, người có quyền lợi, nghĩa vụ liên quan trong vụ án hình sự hoặc người đại diện hợp pháp của họ yêu cầu giám định tư pháp, trừ trường hợp liên quan đến việc xác định trách nhiệm hình sự của bị can, bị cáo.","Node ID: node_9287
Text: Người có quyền tự mình yêu cầu giám định bao gồm đương sự trong
vụ việc dân sự, vụ án hành  chính, nguyên đơn dân sự, bị đơn dân sự,
người có quyền lợi, nghĩa vụ liên quan trong vụ án  hình sự hoặc người
đại diện hợp pháp của họ, trừ trường hợp việc y êu cầu giám định liên
quan  đến việc xác định trách nhiệm hình sự của bị can, bị cáo.   4.
Cá n...
Score:  0.548
"
Câu hỏi: Bộ Lao động - Thương binh và Xã hội cấp lại Giấy phép cho doanh nghiệp dịch vụ miễn phí trong vòng bao nhiêu ngày?,Câu trả lời: Doanh nghiệp dịch vụ được miễn phí khi cấp lại Giấy phép trong thời hạn 5 ngày làm việc.,"Node ID: node_5243
Text: 2. Trong thời hạn 05 ngày làm việc kể từ ngày nhận được văn bản
đề nghị của doanh nghiệp dịch  vụ, Bộ trưởng Bộ Lao động - Thương binh
và Xã hội cấp lại Giấy phép.   3. Doanh nghiệp dịch vụ được miễn phí
khi cấp lại Giấy phép.   Điều 15. Công bố, niêm yết Giấy phép   1.
Trong thời hạn 10 ngày kể từ ngày Giấy phép được cấp, cấp lại hoặc
điều chỉn...
Score:  0.597
"
Câu hỏi: Làm thế nào để đăng ký doanh nghiệp công ty cổ phần?,"Câu trả lời: Bạn có thể đăng ký doanh nghiệp công ty cổ phần trực tiếp tại Cơ quan đăng ký kinh doanh, qua dịch vụ bưu chính hoặc qua mạng thông tin điện tử. Bạn cần có thông tin về các cổ đông sáng lập và cổ đông là nhà đầu tư nước ngoài, chẳng hạn như họ tên, quốc tịch, địa chỉ liên lạc, số lượng cổ phần và giá trị của từng loại tài sản góp vốn.","Node ID: node_3349
Text: Điều 25. Danh sách thành viên công ty trách nhiệm hữu hạn, công
ty hợp danh, danh sách  cổ đông sáng lập và cổ  đông là nhà đầu tư
nước ngoài đối với công ty cổ phần   Danh sách thành viên công ty
trách nhiệm hữu hạn, công ty hợp danh, danh sách cổ đông sáng  lập và
cổ đông là nhà đầu tư nước ngoài đối với công ty cổ phần phải bao gồm
các nội du...
Score:  0.603
"
Câu hỏi: Làm thế nào để đảm bảo quyền biết về nguồn gốc?,"Câu trả lời: Đảm bảo quyền biết về nguồn gốc có thể đạt được thông qua việc cung cấp thông tin chi tiết về xuất xứ, chất lượng và nguồn cung cấp của một sản phẩm hoặc dịch vụ. Điều này giúp người tiêu dùng có thể quyết định hợp lý hơn và an toàn hơn khi mua sắm.","Node ID: node_10244
Text: Điều 11. Bảo đảm quyền được biết về nguồ n gốc
Score:  0.598
"
Câu hỏi: Thế nào là nhiệm vụ chuẩn bị đầu tư trong quy định về đầu tư công?,"Câu trả lời: Nhiệm vụ chuẩn bị đầu tư bao gồm các hoạt động lập, thẩm định, quyết định chủ trương và đầu tư dự án.","Node ID: node_13157
Text: 12. Cơ quan quản lý nhà nước  về đầu tư công  bao gồm Chính phủ,
Bộ Kế hoạch v à Đầu tư, Ủy  ban nhân dân các cấp.   13. Dự án đầu tư
công  là dự án sử dụng toàn bộ hoặc một phần vốn đầu tư công.   14. Dự
án đầu tư công khẩn cấp  là dự án đầu tư công nhằm kịp thời phòng,
chống, khắc phục  hậu quả thiên tai, thảm họa, dịch bệnh; nhiệm vụ cấp
bách...
Score:  0.611
"
"Câu hỏi: Theo pháp luật đầu tư của nước này, nhà đầu tư nước ngoài có quyền mua cổ phần trong công ty cổ phần không?","Câu trả lời: Có, theo Điều 24 và Điều 25.1.a, nhà đầu tư nước ngoài có quyền mua cổ phần của công ty cổ phần trong và ngoài phạm vi phát hành lần đầu.","Node ID: node_13056
Text: 4. Chính phủ quy định chi tiết về trình tự, thủ tục đầu tư thành
lập tổ chức kinh tế và về thực hiện  hoạt động đầu tư của nhà đầu tư
nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài.   Điều 24. Đầu
tư theo hình thức góp vốn, mua cổ phần, mua phần vốn góp   1. Nhà đầu
tư có quyền góp vốn, mua cổ phần, mua phần vốn góp của tổ chức kinh
tế.   ...
Score:  0.585
"
Tàu đóng vào hoặc sau ngày 01/07/2004 cần phải trang bị.,"2. Các tàu khách, kể cả các tàu khách cao tốc, đóng trước 01/07/2004 cũng cần phải trang bị khi kiểm tra trang bị vô tuyến điện đầu tiên sau ngày 01/07/2004.","Node ID: node_168
Text: 1. Tất cả các tàu phải trang bị hệ thống báo động an ninh tàu,
như sau:   .1. các tàu đóng vào hoặc sau ngày 01 tháng 07 năm 2004;
.2. các tàu  khách, kể cả các tàu khách cao tốc, đóng trước 1 tháng 7
năm 2004, không muộn hơn  đợt kiểm tra trang bị vô tuyến điện đầu tiên
sau ngày 1 tháng 7 năm 2004;   .3. các tàu dầu, tàu chở hóa chất, tàu
chở...
Score:  0.616
"
